hour,power_consumption
8339:-1364,21.729088
8339:-1364,21.722332
8353:-1372,21.881006
8353:-1372,21.874214
8352:-1371,21.867403
8351:-1371,21.860592
8351:-1371,21.853802
8350:-1370,21.847004
8350:-1370,21.8402
8349:-1370,21.833403
8348:-1369,21.826603
8348:-1369,21.81984
9117:-1486,27.06669
9117:-1486,27.05902
9116:-1485,27.051373
9115:-1485,27.043692
9115:-1485,27.036036
9114:-1484,27.028368
9114:-1484,27.020702
9113:-1484,27.013058
9112:-1483,27.005396
9112:-1483,26.997736
9111:-1483,26.99007
9111:-1482,26.982433
9110:-1482,26.974777
9110:-1482,26.967123
9109:-1482,26.959482
9123:-1489,27.138754
9122:-1489,27.131073
9121:-1488,27.123384
9121:-1488,27.115713
9120:-1488,27.10804
9120:-1487,27.100351
9119:-1487,27.092682
9119:-1487,27.085014
9118:-1486,27.077337
9117:-1486,27.0697
9117:-1486,27.062008
9116:-1486,27.054344
9116:-1485,27.046682
9115:-1485,27.039026
9114:-1485,27.03136
9114:-1484,27.023693
9113:-1484,27.016043
9113:-1484,27.008387
9112:-1483,27.00071
9111:-1483,26.993065
9111:-1483,26.985416
9110:-1482,26.977755
9110:-1482,26.970114
9109:-1482,26.962456
9123:-1489,27.141739
9122:-1489,27.134056
9122:-1489,27.12636
9121:-1488,27.118698
9120:-1488,27.111021
9120:-1488,27.103365
9119:-1487,27.095676
9119:-1487,27.08802
9118:-1487,27.080332
9118:-1486,27.07267
9117:-1486,27.064995
9116:-1486,27.057337
9116:-1485,27.049665
9115:-1485,27.04198
9115:-1485,27.034336
9114:-1484,27.02669
9113:-1484,27.019037
9113:-1484,27.011364
9112:-1483,27.003712
9112:-1483,26.99603
9111:-1483,26.988386
9111:-1482,26.980753
9110:-1482,26.973087
9690:-1573,31.286951
9689:-1573,31.27902
9702:-1579,31.464636
9701:-1579,31.456678
9701:-1579,31.448744
9700:-1578,31.440798
9700:-1578,31.43286
9699:-1578,31.42491
9699:-1578,31.41697
9698:-1577,31.409033
9697:-1577,31.401098
9697:-1577,31.39316
9696:-1577,31.385237
9696:-1576,31.37728
9695:-1576,31.369368
9695:-1576,31.361433
9694:-1575,31.353498
9694:-1575,31.345556
9693:-1575,31.337626
9693:-1575,31.329704
9692:-1574,31.32176
9692:-1574,31.313824
9691:-1574,31.305893
9690:-1573,31.29797
9690:-1573,31.290054
9689:-1573,31.282124
9702:-1579,31.46772
9702:-1579,31.459782
9701:-1579,31.45184
9700:-1579,31.443888
9700:-1578,31.435959
9699:-1578,31.42802
9699:-1578,31.420057
9698:-1577,31.41214
9698:-1577,31.40419
9697:-1577,31.396244
9697:-1577,31.388329
9696:-1576,31.380379
9696:-1576,31.372444
9695:-1576,31.36451
9694:-1575,31.356583
9694:-1575,31.348648
9693:-1575,31.340698
9693:-1575,31.332779
9692:-1574,31.324844
9692:-1574,31.316923
9691:-1574,31.308989
9691:-1573,31.301073
9690:-1573,31.29312
9690:-1573,31.285208
9702:-1580,31.470812
9702:-1579,31.462893
9701:-1579,31.454943
9701:-1579,31.446993
9700:-1578,31.439045
9700:-1578,31.431105
9699:-1578,31.423162
9698:-1578,31.415232
9698:-1577,31.407272
9697:-1577,31.399338
9697:-1577,31.391401
9696:-1576,31.383457
9696:-1576,31.375544
10134:-1647,34.85222
10134:-1647,34.844406
10133:-1646,34.83657
10133:-1646,34.828754
10132:-1646,34.82093
10132:-1646,34.813118
10131:-1645,34.80529
10131:-1645,34.79749
10130:-1645,34.78966
10130:-1645,34.781853
10129:-1644,34.77402
10129:-1644,34.766205
10141:-1650,34.949142
10140:-1650,34.941307
10140:-1649,34.93349
10139:-1649,34.92566
10139:-1649,34.917854
10138:-1649,34.910015
10138:-1648,34.90219
10137:-1648,34.894367
10137:-1648,34.886543
10136:-1648,34.87873
10136:-1647,34.870895
10135:-1647,34.863075
10135:-1647,34.855263
10134:-1647,34.84744
10134:-1646,34.839615
10133:-1646,34.831814
10133:-1646,34.823994
10132:-1646,34.816154
10132:-1645,34.808342
10131:-1645,34.800533
10131:-1645,34.792713
10130:-1645,34.7849
10130:-1644,34.777084
10129:-1644,34.76926
10141:-1650,34.952198
10140:-1650,34.944355
10140:-1649,34.93653
10139:-1649,34.92871
10139:-1649,34.920887
10138:-1649,34.913067
10138:-1648,34.905247
10137:-1648,34.89742
10137:-1648,34.88959
10136:-1648,34.881767
10136:-1647,34.873955
10135:-1647,34.866154
10135:-1647,34.858315
10134:-1647,34.850502
10134:-1646,34.842674
10133:-1646,34.834846
10133:-1646,34.827023
10132:-1646,34.81921
10132:-1645,34.81141
10131:-1645,34.80357
10131:-1645,34.79576
10130:-1645,34.787945
10130:-1644,34.780113
10129:-1644,34.77231
10141:-1650,34.955246
10141:-1650,34.94741
10140:-1650,34.93958
10474:-1705,37.720577
10473:-1705,37.7131
10473:-1705,37.705612
10472:-1705,37.698124
10472:-1704,37.69065
10471:-1704,37.68317
10471:-1704,37.675686
10470:-1704,37.6682
10470:-1703,37.66072
10469:-1703,37.653248
10469:-1703,37.645752
10468:-1703,37.638283
10468:-1703,37.630806
10468:-1702,37.62332
10467:-1702,37.615807
10467:-1702,37.608337
10466:-1702,37.600887
10466:-1702,37.59338
10465:-1701,37.585903
10465:-1701,37.578426
10464:-1701,37.570953
10464:-1701,37.563465
10475:-1706,37.73847
10474:-1705,37.73098
10474:-1705,37.7235
10473:-1705,37.71601
10473:-1705,37.70853
10472:-1705,37.70105
10472:-1704,37.69357
10471:-1704,37.686092
10471:-1704,37.6786
10470:-1704,37.67113
10470:-1704,37.66362
10470:-1703,37.65616
10469:-1703,37.64868
10469:-1703,37.641193
10468:-1703,37.63371
10468:-1702,37.626213
10467:-1702,37.61876
10467:-1702,37.611244
10466:-1702,37.60378
10466:-1702,37.5963
10465:-1701,37.588825
10465:-1701,37.581337
10464:-1701,37.57387
10464:-1701,37.566406
10475:-1706,37.741383
10474:-1706,37.73388
10474:-1705,37.726414
10473:-1705,37.718925
10473:-1705,37.711452
10473:-1705,37.70397
10472:-1704,37.696484
10472:-1704,37.689003
10471:-1704,37.681522
10471:-1704,37.674038
10470:-1704,37.666553
10470:-1703,37.65906
10469:-1703,37.651585
10469:-1703,37.644104
10468:-1703,37.63662
10468:-1703,37.629177
10723:-1748,39.874237
10722:-1748,39.867207
10722:-1748,39.860195
10721:-1748,39.853176
10721:-1748,39.84615
10721:-1747,39.839138
10720:-1747,39.832115
10720:-1747,39.825073
10719:-1747,39.818047
10729:-1751,39.982273
10729:-1751,39.975243
10728:-1751,39.96823
10728:-1751,39.961224
10728:-1750,39.95419
10727:-1750,39.947147
10727:-1750,39.940147
10726:-1750,39.933132
10726:-1750,39.9261
10725:-1749,39.919083
10725:-1749,39.912064
10725:-1749,39.905056
10724:-1749,39.89802
10724:-1749,39.891006
10723:-1749,39.883984
10723:-1748,39.876965
10722:-1748,39.869946
10722:-1748,39.862934
10722:-1748,39.855896
10721:-1748,39.84887
10721:-1747,39.841877
10720:-1747,39.834846
10720:-1747,39.82784
10719:-1747,39.820805
10730:-1751,39.985004
10729:-1751,39.977974
10729:-1751,39.97096
10728:-1751,39.963947
10728:-1750,39.956917
10727:-1750,39.94989
10727:-1750,39.94289
10727:-1750,39.935852
10726:-1750,39.928856
10726:-1750,39.921825
10725:-1749,39.914806
10725:-1749,39.90778
10724:-1749,39.90076
10724:-1749,39.893745
10724:-1749,39.88672
10723:-1748,39.879707
10723:-1748,39.87269
10722:-1748,39.86566
10722:-1748,39.85864
10721:-1748,39.851627
10721:-1747,39.844593
10721:-1747,39.83759
10720:-1747,39.830563
10720:-1747,39.823544
10730:-1751,39.98774
10729:-1751,39.980732
10729:-1751,39.973698
10728:-1751,39.96667
10728:-1751,39.959652
10728:-1750,39.95265
10922:-1789,41.78148
10921:-1788,41.774986
10921:-1788,41.76849
10921:-1788,41.762005
10920:-1788,41.755493
10920:-1788,41.748997
10919:-1788,41.742516
10919:-1787,41.736004
10919:-1787,41.729507
10918:-1787,41.723026
10918:-1787,41.716526
10918:-1787,41.710014
10917:-1787,41.703514
10917:-1786,41.69704
10916:-1786,41.690525
10916:-1786,41.684036
10916:-1786,41.677536
10915:-1786,41.67103
10915:-1786,41.664543
10924:-1789,41.816486
10924:-1789,41.80998
10923:-1789,41.803497
10923:-1789,41.79701
10922:-1789,41.7905
10922:-1789,41.78403
10922:-1788,41.777515
10921:-1788,41.771038
10921:-1788,41.764523
10920:-1788,41.758022
10920:-1788,41.75153
10920:-1788,41.745026
10919:-1788,41.73853
10919:-1787,41.73205
10918:-1787,41.72555
10918:-1787,41.71905
10918:-1787,41.712566
10917:-1787,41.706062
10917:-1787,41.699562
10916:-1786,41.69307
10916:-1786,41.686565
10916:-1786,41.680058
10915:-1786,41.67357
10915:-1786,41.66707
10924:-1789,41.81903
10924:-1789,41.81252
10923:-1789,41.80601
10923:-1789,41.79955
10923:-1789,41.793053
10922:-1789,41.786533
10922:-1789,41.780037
10921:-1788,41.77355
10921:-1788,41.76707
10921:-1788,41.76057
10920:-1788,41.754066
10920:-1788,41.747574
10919:-1788,41.74108
10919:-1787,41.734566
10919:-1787,41.728092
10918:-1787,41.72158
10918:-1787,41.715084
10917:-1787,41.7086
10917:-1787,41.702106
11066:-1820,43.228027
11065:-1820,43.22207
11065:-1820,43.21613
11064:-1820,43.21018
11064:-1820,43.204224
11064:-1819,43.198277
11072:-1823,43.33741
11072:-1822,43.33148
11072:-1822,43.325512
11071:-1822,43.31955
11071:-1822,43.313618
11070:-1822,43.307674
11070:-1822,43.301716
11070:-1822,43.29578
11069:-1822,43.28983
11069:-1821,43.28388
11069:-1821,43.277943
11068:-1821,43.272
11068:-1821,43.26605
11067:-1821,43.26009
11067:-1821,43.254143
11067:-1821,43.248184
11066:-1820,43.242237
11066:-1820,43.236294
11066:-1820,43.230347
11065:-1820,43.224392
11065:-1820,43.218464
11065:-1820,43.21249
11064:-1820,43.20656
11064:-1819,43.200603
11072:-1823,43.339725
11072:-1823,43.333786
11072:-1822,43.32782
11071:-1822,43.321888
11071:-1822,43.31593
11071:-1822,43.309975
11070:-1822,43.30404
11070:-1822,43.29809
11069:-1822,43.29214
11069:-1821,43.286205
11069:-1821,43.28025
11068:-1821,43.27432
11068:-1821,43.268356
11068:-1821,43.262405
11067:-1821,43.25645
11067:-1821,43.250515
11067:-1820,43.244576
11066:-1820,43.238617
11066:-1820,43.23266
11065:-1820,43.226727
11065:-1820,43.220757
11065:-1820,43.214817
11064:-1820,43.208866
11064:-1819,43.20291
11073:-1823,43.34205
11072:-1823,43.336098
11072:-1822,43.330166
11071:-1822,43.324207
11071:-1822,43.318253
11071:-1822,43.31232
11070:-1822,43.30637
11070:-1822,43.300415
11070:-1822,43.29447
11182:-1851,44.579636
11182:-1851,44.57424
11181:-1851,44.568844
11181:-1851,44.563446
11181:-1851,44.558056
11180:-1851,44.552654
11180:-1850,44.547268
11180:-1850,44.541847
11179:-1850,44.536465
11179:-1850,44.531067
11179:-1850,44.525654
11178:-1850,44.52025
11178:-1850,44.51485
11178:-1850,44.509445
11177:-1850,44.504047
11177:-1849,44.498634
11185:-1852,44.62493
11185:-1852,44.61952
11184:-1852,44.614136
11184:-1852,44.60874
11184:-1852,44.603333
11183:-1852,44.59794
11183:-1851,44.59256
11183:-1851,44.58716
11182:-1851,44.581738
11182:-1851,44.576347
11181:-1851,44.570953
11181:-1851,44.56556
11181:-1851,44.56013
11180:-1851,44.55477
11180:-1851,44.54937
11180:-1850,44.543953
11179:-1850,44.538563
11179:-1850,44.53316
11179:-1850,44.52777
11178:-1850,44.522354
11178:-1850,44.51695
11178:-1850,44.511566
11177:-1850,44.506153
11177:-1849,44.500763
11185:-1852,44.62703
11185:-1852,44.62163
11184:-1852,44.616234
11184:-1852,44.610836
11184:-1852,44.605465
11183:-1852,44.60004
11183:-1852,44.59466
11183:-1851,44.589252
11182:-1851,44.583855
11182:-1851,44.57845
11182:-1851,44.573063
11181:-1851,44.56766
11181:-1851,44.562244
11181:-1851,44.556835
11180:-1851,44.551456
11180:-1850,44.546055
11180:-1850,44.54067
11179:-1850,44.535275
11179:-1850,44.529896
11178:-1850,44.52446
11178:-1850,44.519066
11178:-1850,44.513664
11262:-1877,45.624607
11262:-1877,45.61976
11262:-1876,45.61488
11269:-1879,45.728615
11269:-1879,45.72373
11269:-1879,45.718895
11268:-1879,45.71402
11268:-1878,45.709164
11268:-1878,45.704292
11267:-1878,45.69944
11267:-1878,45.694584
11267:-1878,45.689716
11267:-1878,45.684845
11266:-1878,45.67999
11266:-1878,45.675125
11266:-1878,45.67028
11265:-1878,45.665413
11265:-1877,45.660526
11265:-1877,45.655685
11264:-1877,45.65083
11264:-1877,45.645954
11264:-1877,45.641098
11263:-1877,45.63623
11263:-1877,45.631367
11263:-1877,45.626495
11262:-1877,45.62164
11262:-1876,45.616756
11270:-1879,45.730503
11269:-1879,45.725628
11269:-1879,45.72079
11269:-1879,45.715927
11268:-1879,45.711056
11268:-1878,45.7062
11268:-1878,45.701344
11267:-1878,45.696465
11267:-1878,45.69162
11267:-1878,45.686752
11266:-1878,45.681877
11266:-1878,45.67701
11266:-1878,45.672173
11265:-1878,45.667305
11265:-1877,45.662457
11265:-1877,45.65757
11264:-1877,45.65273
11264:-1877,45.647846
11264:-1877,45.642998
11263:-1877,45.638123
11263:-1877,45.63325
11263:-1877,45.628403
11262:-1877,45.623528
11262:-1877,45.618668
11270:-1879,45.732414
11269:-1879,45.727535
11269:-1879,45.722683
11269:-1879,45.71782
11268:-1879,45.712963
11268:-1878,45.70809
11268:-1878,45.703236
11267:-1878,45.698376
11267:-1878,45.6935
11267:-1878,45.688637
11266:-1878,45.683807
11266:-1878,45.67893
11329:-1902,46.64134
11328:-1902,46.637012
11328:-1902,46.632675
11328:-1902,46.628315
11327:-1902,46.62398
11327:-1902,46.61963
11327:-1902,46.61527
11326:-1902,46.61092
11326:-1901,46.606583
11326:-1901,46.602234
11326:-1901,46.597866
11325:-1901,46.593517
11325:-1901,46.589172
11332:-1903,46.69089
11332:-1903,46.686554
11331:-1903,46.682198
11331:-1903,46.677856
11331:-1903,46.673496
11331:-1903,46.66916
11330:-1903,46.66483
11330:-1903,46.66046
11330:-1902,46.656105
11329:-1902,46.651764
11329:-1902,46.6474
11329:-1902,46.643063
11328:-1902,46.638733
11328:-1902,46.634388
11328:-1902,46.630016
11327:-1902,46.62567
11327:-1902,46.621326
11327:-1902,46.616978
11327:-1902,46.612602
11326:-1901,46.608276
11326:-1901,46.60393
11326:-1901,46.599552
11325:-1901,46.59523
11325:-1901,46.590878
11332:-1903,46.692608
11332:-1903,46.688244
11332:-1903,46.68389
11331:-1903,46.679554
11331:-1903,46.675186
11331:-1903,46.670853
11330:-1903,46.6665
11330:-1903,46.662167
11330:-1903,46.657814
11329:-1902,46.653454
11329:-1902,46.64912
11329:-1902,46.644745
11329:-1902,46.64041
11328:-1902,46.636044
11328:-1902,46.631714
11328:-1902,46.627354
11327:-1902,46.623013
11327:-1902,46.618683
11327:-1902,46.61431
11326:-1902,46.609966
11326:-1901,46.605614
11326:-1901,46.601265
11325:-1901,46.59693
11325:-1901,46.592537
11332:-1903,46.694298
11332:-1903,46.689945
11377:-1925,47.531822
11377:-1925,47.527958
11376:-1925,47.524105
11376:-1925,47.520237
11376:-1925,47.516396
11375:-1925,47.51252
11375:-1925,47.508644
11375:-1925,47.504795
11375:-1925,47.500904
11374:-1925,47.497055
11374:-1924,47.493202
11374:-1924,47.48932
11373:-1924,47.485443
11373:-1924,47.481594
11373:-1924,47.47774
11373:-1924,47.473854
11372:-1924,47.47
11372:-1924,47.466133
11372:-1924,47.46225
11371:-1924,47.458385
11371:-1924,47.454533
11371:-1924,47.450665
11371:-1923,47.4468
11377:-1925,47.53719
11377:-1925,47.533367
11377:-1925,47.529484
11376:-1925,47.525616
11376:-1925,47.52176
11376:-1925,47.5179
11376:-1925,47.514038
11375:-1925,47.51015
11375:-1925,47.50629
11375:-1925,47.502422
11374:-1925,47.498585
11374:-1924,47.494698
11374:-1924,47.49082
11374:-1924,47.486977
11373:-1924,47.483097
11373:-1924,47.47923
11373:-1924,47.47538
11372:-1924,47.4715
11372:-1924,47.467632
11372:-1924,47.46377
11372:-1924,47.459896
11371:-1924,47.456043
11371:-1924,47.452168
11371:-1924,47.448303
11377:-1925,47.538715
11377:-1925,47.53484
11377:-1925,47.530983
11377:-1925,47.5271
11376:-1925,47.523254
11376:-1925,47.51939
11376:-1925,47.515556
11375:-1925,47.51167
11375:-1925,47.507805
11375:-1925,47.50392
11375:-1925,47.500084
11374:-1925,47.496197
11374:-1924,47.492336
11374:-1924,47.48847
11373:-1924,47.484604
11405:-1944,48.237103
11404:-1944,48.233696
11404:-1944,48.23029
11404:-1944,48.22688
11404:-1944,48.22344
11403:-1944,48.220043
11403:-1944,48.21663
11403:-1944,48.2132
11402:-1944,48.20979
11402:-1944,48.20636
11409:-1945,48.286263
11408:-1945,48.282818
11408:-1945,48.279423
11408:-1945,48.276
11408:-1945,48.27261
11407:-1945,48.269184
11407:-1945,48.26579
11407:-1945,48.262352
11406:-1945,48.25895
11406:-1945,48.255527
11406:-1945,48.25211
11406:-1945,48.248695
11405:-1945,48.245293
11405:-1945,48.241856
11405:-1944,48.238457
11404:-1944,48.23503
11404:-1944,48.231613
11404:-1944,48.228214
11404:-1944,48.224773
11403:-1944,48.221363
11403:-1944,48.217964
11403:-1944,48.214535
11403:-1944,48.211124
11402:-1944,48.20769
11409:-1946,48.28758
11408:-1945,48.284157
11408:-1945,48.28075
11408:-1945,48.277344
11408:-1945,48.273922
11407:-1945,48.270496
11407:-1945,48.267094
11407:-1945,48.263668
11407:-1945,48.260273
11406:-1945,48.256855
11406:-1945,48.253452
11406:-1945,48.25003
11405:-1945,48.246613
11405:-1945,48.24317
11405:-1945,48.23978
11405:-1944,48.23636
11404:-1944,48.232952
11404:-1944,48.229546
11404:-1944,48.22612
11404:-1944,48.22271
11403:-1944,48.2193
11403:-1944,48.21587
11403:-1944,48.21245
11402:-1944,48.20904
11409:-1946,48.288906
11409:-1945,48.28551
11408:-1945,48.282074
11408:-1945,48.27868
11408:-1945,48.27525
11428:-1963,48.94257
11428:-1963,48.939594
11427:-1963,48.93658
11427:-1963,48.933594
11427:-1963,48.9306
11427:-1963,48.927593
11426:-1963,48.924603
11426:-1963,48.921597
11426:-1963,48.918594
11426:-1963,48.915607
11425:-1963,48.912594
11425:-1963,48.909595
11425:-1963,48.9066
11425:-1963,48.90361
11424:-1963,48.900604
11424:-1962,48.897606
11424:-1962,48.89462
11423:-1962,48.891605
11423:-1962,48.8886
11423:-1962,48.885605
11429:-1964,48.95575
11429:-1964,48.952778
11429:-1964,48.94975
11428:-1963,48.946762
11428:-1963,48.943768
11428:-1963,48.940754
11427:-1963,48.937756
11427:-1963,48.934776
11427:-1963,48.931778
11427:-1963,48.928764
11426:-1963,48.925762
11426:-1963,48.922764
11426:-1963,48.919765
11426:-1963,48.91679
11425:-1963,48.913773
11425:-1963,48.910774
11425:-1963,48.90776
11425:-1963,48.90478
11424:-1963,48.901787
11424:-1963,48.89877
11424:-1962,48.89578
11424:-1962,48.89279
